time,stl1Mean,stl2Mean,stl3Mean,stl4Mean,SKTMean,depth1,srcMean,T2mMean,swl1Mean,swl2Mean,swl3Mean,swl4Mean,TPMean,time,depth2,depth3,depth4
2019/1/1,-5.2792125,-4.61854,-2.1951675,1.85653,-16.4723975,7,5.39E-06,-12.7934525,0.38056183,0.344806672,0.32929611,0.387203218,8.40E-06,1,21,72,189
2019/1/2,-5.517495,-4.7912075,-2.210335,1.7997975,-18.2025875,7,5.54E-06,-11.7285775,0.381286633,0.344718935,0.329040523,0.387039185,2.78E-06,1,21,72,189
2019/1/3,-5.3350875,-4.701755,-2.242075,1.74389,-16.1832225,7,5.43E-06,-10.9924825,0.38139725,0.344665533,0.328811648,0.386878968,3.16E-06,1,21,72,189
2019/1/4,-5.2991375,-4.643925,-2.268705,1.6877675,-17.2748775,7,5.42E-06,-9.7239475,0.38077163,0.34483719,0.328578948,0.38671875,1.64E-06,1,21,72,189
2019/1/5,-5.4700425,-4.7480525,-2.3059425,1.631065,-18.2747,7,5.44E-06,-10.91466,0.380222315,0.345161435,0.328361513,0.386562348,5.35E-07,1,21,72,189
2019/1/6,-5.84443,-5.023415,-2.360385,1.5749175,-18.042365,7,5.55E-06,-13.5530875,0.380447385,0.345264435,0.328155515,0.386409758,1.51E-06,1,21,72,189
2019/1/7,-6.0634225,-5.220585,-2.4155,1.52078,-17.71086,7,5.65E-06,-15.11544,0.380622865,0.345176698,0.327949525,0.386268613,1.67E-05,1,21,72,189
2019/1/8,-6.458835,-5.5357125,-2.47541,1.4711875,-18.7430625,7,5.86E-06,-16.40788,0.38080216,0.345085143,0.32775116,0.386123658,2.88E-05,1,21,72,189
2019/1/9,-6.3382025,-5.60401,-2.5398575,1.422755,-15.6696,7,5.92E-06,-16.11553,0.38085938,0.344997405,0.327568058,0.38598633,0.000289393,1,21,72,189
2019/1/10,-6.1380075,-5.3555075,-2.566315,1.37591,-17.95507,7,6.09E-06,-17.6569,0.38085938,0.344913488,0.327384945,0.385856628,0.000444742,1,21,72,189
2019/1/11,-6.5618325,-5.62043,-2.59397,1.32809,-21.453995,7,6.33E-06,-19.0092425,0.38085938,0.344841005,0.327209475,0.38572693,0.000214368,1,21,72,189
2019/1/12,-6.9021975,-5.94077,-2.6564075,1.2803,-21.644275,7,6.22E-06,-18.4884725,0.38085938,0.34477234,0.327041628,0.385604858,4.96E-05,1,21,72,189
2019/1/13,-6.7605925,-5.908235,-2.73365,1.2326625,-20.14612,7,6.14E-06,-15.457345,0.38085938,0.344703675,0.32687759,0.38549042,2.29E-06,1,21,72,189
2019/1/14,-6.406195,-5.73823,-2.8049675,1.1846925,-16.38539,7,6.43E-06,-14.40739,0.381111148,0.344646455,0.326721193,0.385375978,7.07E-05,1,21,72,189
2019/1/15,-6.3281325,-5.5082475,-2.839175,1.13467,-18.84336,7,6.64E-06,-16.74579,0.38119507,0.344596863,0.326568603,0.38526535,9.87E-05,1,21,72,189
2019/1/16,-6.8725675,-5.8936525,-2.882845,1.0843775,-21.510025,7,6.73E-06,-18.682785,0.38119507,0.344547275,0.32642746,0.385154725,2.69E-05,1,21,72,189
2019/1/17,-7.22867,-6.244515,-2.956395,1.0335975,-20.8705375,7,6.63E-06,-19.9271825,0.381423948,0.34450531,0.326286313,0.385051727,7.85E-06,1,21,72,189
2019/1/18,-7.3531275,-6.339185,-3.0439175,0.9802825,-22.5935475,7,6.57E-06,-17.8290125,0.38150024,0.34446716,0.326145175,0.384963988,9.96E-07,1,21,72,189
2019/1/19,-7.51554,-6.538825,-3.15275,0.9245475,-22.130105,7,6.55E-06,-16.5597425,0.38150024,0.34443665,0.326019285,0.384864807,1.09E-07,1,21,72,189
2019/1/20,-7.0716925,-6.3306375,-3.2634,0.86569,-17.853415,7,6.68E-06,-15.09626,0.38150024,0.344409948,0.325885773,0.384777065,0.000174917,1,21,72,189
2019/1/21,-6.9535225,-6.11155,-3.3338975,0.80526,-20.15678,7,6.70E-06,-15.554605,0.38150024,0.34439087,0.325763703,0.38468933,0.000178705,1,21,72,189
2019/1/22,-7.0885975,-6.2353275,-3.40519,0.7409275,-20.575565,7,6.75E-06,-14.2890775,0.38150024,0.3443756,0.325653075,0.384609222,2.77E-05,1,21,72,189
2019/1/23,-6.53251,-5.9886825,-3.4856925,0.672995,-16.24294,7,6.77E-06,-11.0634725,0.38040161,0.344734185,0.325534823,0.384532928,5.35E-07,1,21,72,189
2019/1/24,-5.97959,-5.5491125,-3.5313475,0.5987525,-16.7560975,7,6.85E-06,-10.37489,0.377880095,0.34580612,0.325435638,0.38445282,8.58E-07,1,21,72,189
